Reference, Quantity, Value, Footprint, Datasheet, Mouser Number,Manufacturer, Reference,Alt1,Alt1- Manufacturer,Alt2
C1 C3 C13 C10 ,4,22pF,Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,https://au.mouser.com/datasheet/2/212/KEM_C1062_C0G_FT-CAP_SMD-1101746.pdf,80-C0805X220F5G,KEMET ,C0805X220F5GAC,,,
C14 C24 ,1,0.1uF,Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,https://au.mouser.com/datasheet/2/212/KEM_C1062_C0G_FT-CAP_SMD-1101746.pdf,80-C0805X104K4R,KEMET ,C0805X104K4RAC ,,,
C16 C17 ,2,10nF,Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,https://au.mouser.com/datasheet/2/212/KEM_C1062_C0G_FT-CAP_SMD-1101746.pdf,80-C0805X103J3G7800 ,KEMET ,C0805X103J3GACTU ,,,
C19 C20 ,2,220uF,Capacitor_SMD:CP_Elec_6.3x5.4,https://au.mouser.com/datasheet/2/315/ABA0000C1145-947633.pdf,"667-EEE-0JA221WP Panasonic
",KEMET ,EEE-0JA221WP,,,
C4 C5 C2 C9 C22 C23 ,6,10uF,Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,https://au.mouser.com/datasheet/2/212/KEM_C1062_C0G_FT-CAP_SMD-1101746.pdf,80-C0805C106K9P7210 ,KEMET ,C0805C106K9PAC7210 ,,,
C6 C8 C7 C15 C18 C21 ,6,1uF,Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,https://au.mouser.com/datasheet/2/212/KEM_C1062_C0G_FT-CAP_SMD-1101746.pdf,80-C0805X105K3R3316,KEMET ,C0805X105K3RAC3316,,,
CHG1 ,1,ORANGE,LED_SMD:LED_0805_2012Metric,~,645-599-0110-007F,Dialight,599-0130-007F,,,
D1 ,1,MBR120,mpr121:CHIPLED_0805_NOOUTLINE,https://au.mouser.com/datasheet/2/308/MBR120VLSFT1-D-107081.pdf,863-MBR120VLSFT3G,ON Semiconductor,MBR120VLSFT3G,MBR120VLSFT3,,
FB2 FB1 ,2,Ferrite_Bead,Capacitor_SMD:C_0805_2012Metric,https://au.mouser.com/datasheet/2/281/QNFA9102-1485076.pdf,BLM21SP181SH1D,Murata Electronics ,BLM21SP181SH1D,74279220181,Wurth Electronik,
H1 H2 H3 ,3,MountingHole,MountingHole:MountingHole_2.2mm_M2_DIN965_Pad,~,,~,~,,,
HS1 HS2 ,2,Heatsink_Pad,custom:medium-thermal,~,,~,~,,,
HS3 ,1,Heatsink_Pad,custom:thermal,~,,~,~,,,
HS4 ,1,Heatsink_Pad,custom:small-thermal,~,,~,~,,,
J1 ,1,USB_B_Micro,Connector_USB:USB_Micro-B_Molex_47346-0001,https://au.mouser.com/datasheet/2/276/0473460001_IO_CONNECTORS-229243.pdf,538-47346-0001,Molex ,47346-0001,,,
J2 ,1,SJ-3524-SMT-jack,Connector_Audio:Jack_3.5mm_CUI_SJ-3524-SMT_Horizontal,https://au.mouser.com/datasheet/2/670/sj-352x-smt_series-1313220.pdf,490-SJ-3523-SMT-TR CUI,,SJ-3523-SMT-TR ,,,
