Id,Designator,Package,Quantity,Designation,Supplier and ref
1,"REF**,REF**,REF**,REF**",MountingHole_2.2mm_M2_DIN965_Pad,4,MountingHole_2.2mm_M2_DIN965_Pad,
2,LCD1,JD-T1800,1,JD-T1800,
3,U3,connector,1,click-wheel,
4,S1,slider,1,450302014072,
5,"R27,R26,R25,R24,R23,R22,R21,R20,R19",R_0402_1005Metric,9,1k,
6,X2,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,1,JSTPH,
7,Y1,Crystal_SMD_5032-4Pin_5.0x3.2mm,1,ABM8G-12.288MHZ-18-D2Y-T,
8,JP1,SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm,1,SolderJumper_2_Bridged,
9,"R18,R17,R7",R_0805_2012Metric,3,10k,
10,R16,R_0805_2012Metric,1,47k,
11,R15,R_0805_2012Metric,1,1k,
12,R14,R_0805_2012Metric,1,22,
13,Q1,SOT23-3,1,TRANSISTOR_NPNSOT23-3,
14,C24,C_0805_2012Metric,1,0.1uF,
15,U5,QT2120,1,AT42QT2120_COMMS,
16,"R16A1,R2,R16D1,R16C1,R16B1,R6,R5,R4",R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,8,100k,
17,"C20,C19",CP_Radial_D5.0mm_P2.00mm,2,220uF,
18,"C17,C16",C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,2,10nF,
19,U2,SOT-23-5,1,SPX3819M5-L-3-3,
20,"C2,C5,C23,C22,C9,C4",C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,6,10uF,
21,D1,CHIPLED_0805_NOOUTLINE,1,MBR120,
22,Y2,Crystal_SMD_TXC_7A-2Pin_5x3.2mm,1,Crystal,
23,U7,SOT23-6,1,VREG_SOT23-6_DUALAP7312,
24,U6,LQFP48,1,VS1053B,
25,U4,TQFP-48_7x7mm_P0.5mm,1,ATSAMD21G18A-AUT,
26,U1,SOT23-5,1,MCP73831-2-OT,
27,SW1,SW_Push_SPST_NO_Alps_SKRK,1,SW_Push,
28,RST1,SolderJumper-2_P1.3mm_Bridged2Bar_RoundedPad1.0x1.5mm,1,SolderJumper_2_Bridged,
29,"R13,R12",R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,2,100,
30,"R11,R10",R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,2,22,
31,R8,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1,1M,
32,R3,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1,1k,
33,R1,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1,10k,
34,MIDI1,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,1,SolderJumper,
35,"JP4,JP3",1X02_ROUND,2,HEADER-1X2ROUND,
36,J3,microSD_HC_Hirose_DM3D-SF,1,Micro_SD_Card,
37,J2,Jack_3.5mm_CUI_SJ-3523-SMT_Horizontal-G,1,AudioJack2_Ground,
38,J1,USB_Micro-B_Molex_47346-0001,1,USB_B_Micro,
39,"FB2,FB1",C_0805_2012Metric,2,Ferrite_Bead,
40,CHG1,LED_0805_2012Metric,1,ORANGE,
41,"C21,C18,C15,C8,C7,C6",C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,6,1uF,
42,C14,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1,0.1uF,
43,"C13,C10,C3,C1",C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,4,22pF,
,,,,,
,,,,,
,,,,,
,,total SMD,75,,
