Reference, Value, Footprint, Datasheet, MFR, Mouser, mouser
"R3","1k","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
"CHG1","ORANGE","LED_SMD:LED_0805_2012Metric","~"
"C4","10uF","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
"R1","10k","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
"U1","MCP73831-2-OT","adafruit-m0:SOT23-5","https://au.mouser.com/datasheet/2/268/20001984g-846362.pdf","MCP73831T-2ACI/OT","579-MCP73831T-2ACIOT",""
"J1","USB_B_Micro","Connector_USB:USB_Micro-B_Molex_47346-0001","https://au.mouser.com/datasheet/2/276/0473460001_IO_CONNECTORS-229243.pdf","47346-0001","538-47346-0001",""
"R5","100k","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
"R4","100k","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
"U2","SPX3819M5-L-3-3","Package_TO_SOT_SMD:SOT-23-5","https://au.mouser.com/datasheet/2/146/SPX3819-1079947.pdf","SPX3819M5-L-5-0/TR","701-SPX3819M5-L-50TR",""
"C5","10uF","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
"C6","1uF","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
"C2","10uF","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
"R2","100k","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
"D1","MBR120","mpr121:CHIPLED_0805_NOOUTLINE","https://au.mouser.com/datasheet/2/308/MBR120VLSFT1-D-107081.pdf","MBR120VLSFT3G","863-MBR120VLSFT3G",""
"X2","JSTPH","little-helper:JST-2-SMD","http://www.jst-mfg.com/product/pdf/eng/ePH.pdf","S2B-PH-SM4-TB(LF)(SN) ","",""
"C8","1uF","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
"C9","10uF","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
"U4","ATSAMD21G18A-AUT","Package_QFP:TQFP-48_7x7mm_P0.5mm","http://ww1.microchip.com/downloads/en/DeviceDoc/SAMD21-Family-DataSheet-DS40001882D.pdf","","","556-ATSAMD21G18A-AUT "
"C1","22pF","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",""
"C3","22pF","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",""
"C7","1uF","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
"U6","VS1053B","adafruit -music:LQFP48","http://www.vlsi.fi/fileadmin/datasheets/vs8053.pdf","","485-1681 ",""
"C14","0.1uF","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
"R6","100k","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
"C13","22pF","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
"C10","22pF","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
"R8","1M","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
"C15","1uF","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
"R16B1","100k","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
"R16A1","100k","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
"R16C1","100k","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
"R16D1","100k","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
"MIDI1","SolderJumper","Jumper:SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm","~"
"RST1","SolderJumper_2_Bridged","Jumper:SolderJumper-2_P1.3mm_Bridged2Bar_RoundedPad1.0x1.5mm","~"
"R12","100","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
"R13","100","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
"C19","220uF","Capacitor_SMD:CP_Elec_6.3x5.4","https://au.mouser.com/datasheet/2/315/ABA0000C1145-947633.pdf","EEE-0JA221WP","667-EEE-0JA221WP",""
"R10","22","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
"R11","22","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
"C16","10nF","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
"C17","10nF","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
"JP3","HEADER-1X2ROUND","adafruit -music:1X02_ROUND",""
"JP4","HEADER-1X2ROUND","adafruit -music:1X02_ROUND",""
"FB2","Ferrite_Bead","Capacitor_SMD:C_0805_2012Metric","https://au.mouser.com/datasheet/2/281/QNFA9102-1485076.pdf","","BLM21SP181SH1D",""
"FB1","Ferrite_Bead","Capacitor_SMD:C_0805_2012Metric","https://au.mouser.com/datasheet/2/281/QNFA9102-1485076.pdf","","BLM21SP181SH1D",""
"C18","1uF","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
"J3","Micro_SD_Card","Connector_Card:microSD_HC_Hirose_DM3D-SF","https://au.mouser.com/datasheet/2/185/DM3_catalog-939223.pdf","DM3D-SF","798-DM3D-SF",""
"C22","10uF","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
"C23","10uF","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
